Rank,Player,Club,Nationality,Stat
6,Kalvin Phillips,,England,1884
7,Ryan Bertrand,,England,1864
7,Timothy Castagne,Leicester City,Belgium,1856
7,Enda Stevens,Sheffield United,Ireland,1854
7,Wilfred Ndidi,Leicester City,Nigeria,1846
7,Stuart Armstrong,Southampton,Scotland,1842
7,Mohamed Salah,Liverpool,Egypt,1842
7,Harrison Reed,Fulham,England,1835
7,Douglas Luiz,Aston Villa,Brazil,1835
7,Romain Saïss,,Morocco,1824
7,Mateusz Klich,,Poland,1819
8,Kevin De Bruyne,Manchester City,Belgium,1814
8,Sergio Reguilón,,Spain,1807
8,Roberto Firmino,Liverpool,Brazil,1803
8,Kieran Tierney,Arsenal,Scotland,1801
8,Gabriel Magalhães,Arsenal,Brazil,1800
8,Marcus Rashford,Manchester United,England,1791
8,Ademola Lookman,Fulham,Nigeria,1789
8,Jonjo Shelvey,,England,1785
8,Paul Pogba,,France,1781
8,Oliver Norwood,Sheffield United,Northern Ireland,1776
9,Antonee Robinson,Fulham,United States,1767
9,Sadio Mané,,Senegal,1740
9,Ben Godfrey,Everton,England,1739
9,James Tarkowski,,England,1734
9,Matty Cash,Aston Villa,Poland,1729
9,Ezri Konsa,Aston Villa,England,1729
9,Antonio Rüdiger,,Germany,1713
9,Charlie Taylor,Burnley,England,1712
9,Bernardo Silva,Manchester City,Portugal,1711
9,Toby Alderweireld,,Belgium,1708
1,Pedro Neto,Wolverhampton Wanderers,Portugal,1707
1,Scott McTominay,Manchester United,Scotland,1699
1,Abdoulaye Doucouré,Everton,Mali,1680
1,Oleksandr Zinchenko,,Ukraine,1680
1,Jack Harrison,,England,1679
1,Cheikhou Kouyaté,,Senegal,1676
1,Luka Milivojevic,Crystal Palace,Serbia,1668
1,Son Heung-Min,Tottenham Hotspur,South Korea,1657
1,Bukayo Saka,Arsenal,England,1653
1,Eberechi Eze,Crystal Palace,England,1649
1,Raheem Sterling,,England,1641
1,Çaglar Söyüncü,Leicester City,[object Object],1639
1,James Justin,Leicester City,England,1635
1,Darnell Furlong,West Bromwich Albion,England,1616
1,Tanguy Ndombélé,,France,1616
1,Pascal Struijk,Leeds United,Netherlands,1609
1,Chris Basham,Sheffield United,England,1603
1,Illan Meslier,Leeds United,France,1598
1,Dan Burn,,England,1595
1,Josh Brownhill,Burnley,England,1585
1,Jack Grealish,,England,1582
1,Mason Holgate,Everton,England,1576
1,Raphinha,,Brazil,1573
1,Dani Ceballos,,Spain,1565
1,Héctor Bellerín,,Spain,1564
1,John Fleck,Sheffield United,Scotland,1564
1,Harry Kane,Tottenham Hotspur,England,1561
1,Oriol Romeu,,Spain,1560
1,Matheus Pereira,,Brazil,1556
1,Adama Traoré,Wolverhampton Wanderers,Spain,1544
1,Emiliano Martínez,Aston Villa,Argentina,1541
1,Leandro Trossard,,Belgium,1535
1,Sam Johnstone,,England,1531
1,Leander Dendoncker,,Belgium,1528
1,Conor Townsend,West Bromwich Albion,England,1509
1,Ben Mee,,England,1506
1,James Maddison,Leicester City,England,1505
1,Yerry Mina,Everton,Colombia,1504
1,George Baldock,Sheffield United,Greece,1502
1,Pablo Fornals,West Ham United,Spain,1492
1,Conor Gallagher,,England,1459
1,John Egan,Sheffield United,Ireland,1454
1,James Rodríguez,,Colombia,1431
1,Ethan Ampadu,Sheffield United,Wales,1425
1,Riyad Mahrez,Manchester City,Algeria,1424
1,David McGoldrick,,Ireland,1421
1,Joel Ward,Crystal Palace,England,1418
1,Ollie Watkins,Aston Villa,England,1411
1,Thomas Partey,Arsenal,Ghana,1399
1,Aymeric Laporte,Manchester City,Spain,1397
1,Patrick van Aanholt,,Netherlands,1395
1,Allan,,Brazil,1390
1,Aaron Ramsdale,,England,1386
1,Kasper Schmeichel,,Denmark,1385
1,Andros Townsend,,England,1381
1,Semi Ajayi,West Bromwich Albion,Nigeria,1370
1,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,1370
1,Richarlison,,Brazil,1365
1,Ivan Cavaleiro,,Portugal,1345
1,Nathaniel Phillips,Liverpool,England,1335
1,John Lundstram,,England,1329
1,Bernd Leno,,Germany,1326
1,Alisson,Liverpool,Brazil,1321
1,Jordan Pickford,Everton,England,1319
1,Andreas Christensen,,Denmark,1299
1,Solly March,Brighton & Hove Albion,England,1297
1,Angelo Ogbonna,West Ham United,Italy,1296
1,Gylfi Sigurdsson,,Iceland,1292
1,Miguel Almirón,Newcastle United,Paraguay,1289
1,Sèrge Aurier,,Cote D’Ivoire,1280
1,Jack Stephens,,England,1276
1,Willy Boly,,Cote D’Ivoire,1265
1,Marc Albrighton,,England,1256
1,Vicente Guaita,Crystal Palace,Spain,1250
1,Hugo Lloris,Tottenham Hotspur,France,1248
1,Bertrand Traoré,Aston Villa,Burkina Faso,1245
1,Timo Werner,,Germany,1245
1,Ederson,Manchester City,Brazil,1237
1,Davinson Sánchez,Tottenham Hotspur,Colombia,1231
1,Alex McCarthy,Southampton,England,1229
1,Dara O'Shea,West Bromwich Albion,Ireland,1228
1,Robert Sánchez,Brighton & Hove Albion,Spain,1226
1,Alphonse Aréola,,France,1209
1,Mario Lemina,,Gabon,1209
1,Curtis Jones,Liverpool,England,1200
1,Kyle Bartley,West Bromwich Albion,England,1198
1,Federico Fernández,,Argentina,1197
1,Nick Pope,,England,1195
1,Nemanja Matic,,Serbia,1186
1,Lukasz Fabianski,West Ham United,Poland,1185
1,Jarrod Bowen,West Ham United,England,1175
1,Fernandinho,,Brazil,1175
1,Bobby De Cordova-Reid,,Jamaica,1170
1,Adam Lallana,Brighton & Hove Albion,England,1166
1,André Gomes,,Portugal,1163
1,David Luiz,,Brazil,1161
1,Ruben Loftus-Cheek,Fulham,England,1158
1,Jordan Ayew,Crystal Palace,Ghana,1148
1,Phil Foden,Manchester City,England,1148
1,Mohamed Elneny,Arsenal,Egypt,1147
1,Nampalys Mendy,,Senegal,1147
2,Dominic Calvert-Lewin,Everton,England,1144
2,Gabriel Jesus,,Brazil,1134
2,Isaac Hayden,,England,1133
2,Kenny Tete,Fulham,Netherlands,1125
2,Édouard Mendy,Chelsea,Senegal,1121
2,James Milner,Liverpool,England,1113
2,Christian Pulisic,Chelsea,United States,1108
2,Nathan Redmond,,England,1092
2,Ben Osborn,Sheffield United,England,1091
2,Jamal Lewis,Newcastle United,Northern Ireland,1079
2,Tyrick Mitchell,Crystal Palace,England,1076
2,Kai Havertz,Chelsea,Germany,1072
2,Rayan Aït-Nouri,,Algeria,1063
2,Neal Maupay,,France,1063
2,Ross Barkley,,England,1060
2,Ché Adams,Southampton,Scotland,1053
2,Matt Doherty,,Ireland,1053
2,Ciaran Clark,,Ireland,1050
2,Joelinton,Newcastle United,Brazil,1045
2,Mason Greenwood,,England,1040
2,James McArthur,Crystal Palace,Scotland,1034
2,Nicolas Pépé,,Cote D’Ivoire,1034
2,Séamus Coleman,,Ireland,1029
2,Ainsley Maitland-Niles,West Bromwich Albion,England,1021
2,Harvey Barnes,Leicester City,England,1009
2,Chris Wood,,New Zealand,1006
2,Moussa Sissoko,,France,999
2,Craig Dawson,,England,980
2,Ben Davies,Tottenham Hotspur,Wales,976
2,Alex Iwobi,Everton,Nigeria,976
2,Willian,,Brazil,964
2,Rui Patrício,,Portugal,951
2,Lucas Moura,Tottenham Hotspur,Brazil,951
2,Jacob Murphy,Newcastle United,England,946
2,Gary Cahill,,England,945
2,Pierre-Emerick Aubameyang,,Gabon,940
2,Hakim Ziyech,Chelsea,Morocco,932
2,Anwar El Ghazi,,Netherlands,931
2,Emile Smith Rowe,Arsenal,England,931
2,Robin Koch,Leeds United,Germany,928
2,Tom Davies,Everton,England,925
2,Patrick Bamford,Leeds United,England,920
2,Michail Antonio,,Jamaica,916
2,Romaine Sawyers,,St. Kitts & Nevis,909
2,Christian Benteke,,Belgium,906
2,Maximilian Kilman,Wolverhampton Wanderers,England,899
2,Diego Llorente,,Spain,898
2,Daniel Podence,Wolverhampton Wanderers,Portugal,897
2,Jesse Lingard,,England,897
2,Karl Darlow,,England,889
2,Danny Ings,,England,885
2,Matt Phillips,West Bromwich Albion,Scotland,869
2,Jairo Riedewald,Crystal Palace,Netherlands,857
2,Alexandre Lacazette,,France,850
2,Allan Saint-Maximin,Newcastle United,France,845
2,Saïd Benrahma,West Ham United,Algeria,844
2,Nathan Aké,Manchester City,Netherlands,827
2,Jamaal Lascelles,Newcastle United,England,824
2,Callum Hudson-Odoi,,England,818
2,Ayoze Pérez,,Spain,798
2,Kelechi Iheanacho,Leicester City,Nigeria,797
2,Erik Pieters,,Netherlands,796
2,Fabian Schär,Newcastle United,Switzerland,794
2,Okay Yokuslu,,[object Object],787
2,Sean Longstaff,Newcastle United,England,786
2,Matt Ritchie,Newcastle United,Scotland,786
2,Rodrigo,Leeds United,Spain,784
2,Scott Dann,,England,781
2,Harry Winks,,England,779
2,Jamie Vardy,Leicester City,England,778
2,Giovani Lo Celso,,Argentina,770
2,Anthony Martial,Manchester United,France,770
2,Benjamin Mendy,,France,768
2,Marcos Alonso,,Spain,764
2,Ibrahima Diallo,Southampton,France,759
2,Ricardo Pereira,Leicester City,Portugal,757
2,Issa Diop,,France,755
2,Arthur Masuaku,,DR Congo,753
2,Jeffrey Schlupp,Crystal Palace,Ghana,751
2,Emil Krafth,Newcastle United,Sweden,742
2,Moussa Djenepo,Southampton,Mali,736
2,Tom Cairney,Fulham,Scotland,735
2,Paul Dummett,Newcastle United,Wales,729
2,Theo Walcott,,England,716
2,Ahmed El Mohamady,,Egypt,714
2,Pablo Marí,,Spain,710
2,Nathaniel Clyne,Crystal Palace,England,709
2,Callum Wilson,Newcastle United,England,700
2,Calum Chambers,,England,699
2,Christian Fuchs,,Austria,697
2,Tyler Roberts,,Wales,691
2,Jeff Hendrick,,Ireland,689
2,Alex Telles,,Brazil,686
2,Diogo Jota,Liverpool,Portugal,682
2,Ozan Kabak,,Turkey,681
2,Grady Diangana,West Bromwich Albion,England,677
2,David de Gea,Manchester United,Spain,674
2,Luke Thomas,Leicester City,England,674
2,Jack Cork,Burnley,England,671
3,Tariq Lamptey,Brighton & Hove Albion,Ghana,670
3,Ferran Torres,,Spain,666
3,Eric Bailly,,Cote D’Ivoire,663
3,Oliver McBurnie,Sheffield United,Scotland,660
3,Jóhann Gudmundsson,Burnley,Iceland,656
3,Fabián Balbuena,,Paraguay,651
3,Callum Robinson,,Ireland,650
3,Martin Ødegaard,,Norway,630
3,Sander Berge,Sheffield United,Norway,629
3,Aleksandar Mitrovic,Fulham,Serbia,628
3,Joël Matip,Liverpool,Cameroon,620
3,Joe Gomez,Liverpool,England,619
3,Alexis Mac Allister,Brighton & Hove Albion,Argentina,616
3,Joe Willock,,England,616
3,Steven Bergwijn,,Netherlands,613
3,Kean Bryan,,England,612
3,Gareth Bale,,Wales,611
3,Jayden Bogle,Sheffield United,England,607
3,Jack Robinson,Sheffield United,England,585
3,Daniel Amartey,,Ghana,580
3,Robert Brady,,Ireland,578
3,Cédric Soares,,Portugal,572
3,Steven Alzate,,Colombia,564
3,Ashley Barnes,Burnley,England,560
3,Trézéguet,,Egypt,560
3,Rhys Williams,Liverpool,England,560
3,Hélder Costa,,Angola,557
3,Takumi Minamino,,Japan,556
3,Fábio Silva,,Portugal,554
3,Jake Livermore,West Bromwich Albion,England,551
3,Mohammed Salisu,Southampton,Ghana,548
3,Joe Bryan,,England,535
3,Mathew Ryan,,Australia,533
3,Tim Ream,Fulham,United States,532
3,Joe Rodon,,Wales,527
3,Erik Lamela,,Argentina,524
3,Jay Rodríguez,Burnley,England,517
3,Martin Dúbravka,Newcastle United,Slovakia,515
3,Javier Manquillo,Newcastle United,Spain,513
3,Mark Noble,,England,507
3,Danny Welbeck,Brighton & Hove Albion,England,501
3,Edinson Cavani,,Uruguay,499
3,Xherdan Shaqiri,,Switzerland,499
3,Dele Alli,,England,484
3,Oliver Burke,,Scotland,484
3,Manuel Lanzini,West Ham United,Argentina,479
3,Marçal,,Brazil,479
3,Ki-Jana Hoever,,Netherlands,467
3,Pablo Hernández,,Spain,462
3,Dan James,,Wales,461
3,Ryan Fraser,Newcastle United,Scotland,458
3,Matej Vydra,,[object Object],457
3,Naby Keïta,Liverpool,Guinea,454
3,Filip Krovinovic,,Croatia,454
3,James McCarthy,,Ireland,432
3,Sébastien Haller,,Cote D’Ivoire,423
3,Willian José,,Brazil,422
3,Dennis Praet,Leicester City,Belgium,422
3,Raúl Jiménez,Wolverhampton Wanderers,Mexico,419
3,Vitinha,,Portugal,411
3,Kieran Gibbs,,England,406
3,Jakub Moder,Brighton & Hove Albion,Poland,399
3,Branislav Ivanovic,West Bromwich Albion,Serbia,397
3,Mbaye Diagne,,Senegal,395
3,Karlan Grant,West Bromwich Albion,England,392
3,Marvelous Nakamba,,Zimbabwe,390
3,Eric García,,Spain,385
3,Tammy Abraham,,England,384
3,Dean Henderson,,England,382
3,Rhian Brewster,Sheffield United,England,374
3,Ryan Fredericks,,England,373
3,Donny van de Beek,Manchester United,Netherlands,370
3,Virgil van Dijk,Liverpool,Netherlands,367
3,Bernard,,Brazil,366
3,Alireza Jahanbakhsh,,Iran,362
3,Jacob Ramsey,Aston Villa,England,342
3,Juan Mata,,Spain,341
3,Kevin Long,,Ireland,330
3,Morgan Gibbs-White,,England,329
3,Axel Tuanzebe,,England,327
3,Jonny,Wolverhampton Wanderers,Spain,324
3,Olivier Giroud,,France,324
3,Fraser Forster,,England,320
3,Kortney Hause,,England,320
3,Nathan Tella,,England,318
3,Max Lowe,,England,312
3,Japhet Tanganga,Tottenham Hotspur,England,305
3,Michy Batshuayi,,Belgium,295
3,Ben Johnson,,England,291
3,Hamza Choudhury,,England,290
3,Josh Maja,Fulham,Nigeria,289
3,Fabian Delph,,England,281
3,Gabriel Martinelli,Arsenal,Brazil,280
3,Phil Jagielka,,England,274
3,Kepa Arrizabalaga,Chelsea,Spain,272
3,Jamie Shackleton,,England,263
3,Sergio Agüero,,Argentina,262
3,Neco Williams,,Wales,259
3,Billy Gilmour,,Scotland,255
3,James Tomkins,Crystal Palace,England,247
4,Robert Snodgrass,,Scotland,244
4,DeAndre Yedlin,,United States,239
4,Robin Olsen,,Sweden,232
4,Josh Onomah,,England,226
4,Denis Odoi,,Ghana,220
4,Andy Carroll,,England,219
4,Andrii Yarmolenko,,Ukraine,219
4,Michael Hector,,Jamaica,216
4,Morgan Sanson,,France,216
4,Billy Sharp,Sheffield United,England,216
4,Ian Poveda-Ocampo,,England,213
4,Phil Bardsley,,Scotland,207
4,Hal Robson-Kanu,West Bromwich Albion,Wales,207
4,Aaron Connolly,,Ireland,204
4,Jimmy Dunne,,Ireland,200
4,Cengiz Ünder,,[object Object],199
4,Alex Oxlade-Chamberlain,Liverpool,England,189
4,Aboubakar Kamara,,Mauritania,187
4,Matty Longstaff,,England,181
4,Conor Hourihane,,Ireland,178
4,Eddie Nketiah,Arsenal,England,173
4,Brandon Williams,Manchester United,England,167
4,Dwight Gayle,,England,166
4,Dale Stephens,Burnley,England,166
4,Fábio Carvalho,,Portugal,151
4,Keinan Davis,,England,135
4,Rúben Vinagre,,Portugal,131
4,Bailey Peacock-Farrell,,Northern Ireland,126
4,Davy Pröpper,,Netherlands,124
4,Mamadou Sakho,,France,124
4,Bernardo,,Brazil,120
4,Josh Benson,,England,119
4,Kiko Casilla,,Spain,116
4,Adrián,Liverpool,Spain,116
4,Owen Otasowie,,United States,110
4,Lee Peltier,,England,110
4,Carlos Vinícius,,Brazil,108
4,Amad Diallo,,Cote D’Ivoire,104
4,William Smallbone,,Ireland,102
4,Yan Valery,,Tunisia,102
4,Lys Mousset,,France,101
4,Jack O'Connell,Sheffield United,England,101
4,Shane Long,,Ireland,99
4,Divock Origi,,Belgium,96
4,Maxime Le Marchand,,France,94
4,Anthony Elanga,Manchester United,Sweden,92
4,Joshua King,,Norway,91
4,Timothy Fosu-Mensah,,Netherlands,87
4,Jean-Philippe Mateta,,France,85
4,Daniel Jebbison,,England,83
4,Emerson,,Italy,82
4,Darren Randolph,,Ireland,77
4,Andi Zeqiri,,Switzerland,74
4,Caoimhín Kelleher,Liverpool,Ireland,73
4,Gaetano Berardi,,Switzerland,72
4,Ahmed Hegazy,,Egypt,72
4,Neeskens Kebano,,DR Congo,72
4,Jonjoe Kenny,,England,71
4,Sead Kolasinac,,Bosnia & Herzegovina,71
4,Will Norris,,England,62
4,Charlie Austin,,England,61
4,Kamil Grosicki,West Bromwich Albion,Poland,61
4,Niels Nkounkou,,France,61
4,Kyle Edwards,,England,55
4,Terence Kongolo,,Netherlands,55
4,Shkodran Mustafi,,Germany,55
4,Daniel N'Lundulu,,England,54
4,Marek Rodák,,Slovakia,54
4,Anthony Gordon,,England,51
4,Percy Tau,,South Africa,47
4,Sam Field,,England,46
4,Reiss Nelson,Arsenal,England,44
4,David Button,West Bromwich Albion,England,43
4,Fikayo Tomori,,England,43
4,Sidnei Tavares,,Portugal,38
4,Kayne Ramsay,,England,37
4,Zack Steffen,,United States,31
4,John Ruddy,,England,30
4,Jack Butland,,England,26
4,Willy Caballero,,Argentina,26
4,Leif Davis,,England,26
4,Rekeem Harper,,England,25
4,Michael Obafemi,,Ireland,24
4,Jake Vokins,,England,23
4,Niall Huggins,,Wales,21
4,João Virgínia,,Portugal,21
4,Caleb Watts,,Australia,21
4,Oskar Buur,,Denmark,19
4,Scott Carson,,England,18
4,Tyrese Francois,,Australia,18
4,Cenk Tosun,,[object Object],17
4,Demarai Gray,,England,16
4,Jean-Philippe Gbamin,,Cote D’Ivoire,15
4,Moise Kean,,Italy,15
4,Carney Chukwuemeka,,England,14
4,José Izquierdo,,Colombia,13
4,Joel Mumbongo,,Sweden,13
4,Rúnar Rúnarsson,,Iceland,13
4,Neil Taylor,,Wales,13
4,Islam Slimani,,Algeria,12
5,Liam Delap,,England,11
5,Thakgalo Leshabela,,South Africa,10
5,Shola Shoretire,,England,10
5,Konstantinos Tsimikas,Liverpool,Greece,10
5,Theo Corbeanu,,Canada,8
5,Hannibal Mejbri,,Tunisia,8
5,Wesley,,Brazil,8
5,Alexandre Jankewitz,,Switzerland,7
5,Iliman Ndiaye,Sheffield United,Senegal,7
5,Felipe Anderson,,Brazil,7
5,Odion Ighalo,,Nigeria,6
5,Wes Morgan,,Jamaica,6
5,Patrick Cutrone,,Italy,5
5,Martin Kelly,,England,4
5,Jaden Philogene,,England,4
5,Nathan Broadhead,,Wales,3
5,Antwoine Hackford,Sheffield United,England,3
5,Elliot Anderson,Newcastle United,Scotland,2
5,Lewis Richardson,Burnley,England,2
5,Allan Tchaptchet,,France,2
5,Reda Khadra,,Germany,1
5,Jayson Molumby,,Ireland,1
