Rank,Player,Club,Nationality,Stat
8,João Cancelo,,Portugal,35
8,Trézéguet,,Egypt,35
8,Ruben Loftus-Cheek,Fulham,England,35
8,Matej Vydra,,[object Object],35
8,Danny Welbeck,Brighton & Hove Albion,England,35
8,Hakim Ziyech,Chelsea,Morocco,35
8,Josh Brownhill,Burnley,England,34
8,Edinson Cavani,,Uruguay,34
8,Bobby De Cordova-Reid,,Jamaica,34
8,Reece James,Chelsea,England,34
8,André-Frank Zambo Anguissa,,Cameroon,34
9,Miguel Almirón,Newcastle United,Paraguay,33
9,Kai Havertz,Chelsea,Germany,33
9,Tammy Abraham,,England,32
9,Daniel Podence,Wolverhampton Wanderers,Portugal,32
9,Lewis Dunk,Brighton & Hove Albion,England,32
9,Pascal Groß,Brighton & Hove Albion,Germany,32
9,Rodri,Manchester City,Spain,32
9,Leander Dendoncker,,Belgium,31
9,Ayoze Pérez,,Spain,31
9,Paul Pogba,,France,31
9,Callum Robinson,,Ireland,31
9,Jay Rodríguez,Burnley,England,31
9,Georginio Wijnaldum,,Netherlands,31
1,Oliver McBurnie,Sheffield United,Scotland,30
1,Jacob Murphy,Newcastle United,England,30
1,Allan Saint-Maximin,Newcastle United,France,30
1,Conor Gallagher,,England,29
1,Olivier Giroud,,France,29
1,Theo Walcott,,England,29
1,Bernardo Silva,Manchester City,Portugal,28
1,Romain Saïss,,Morocco,28
1,Ben Chilwell,Chelsea,England,27
1,Declan Rice,West Ham United,England,27
1,Kurt Zouma,,France,27
1,Jordan Ayew,Crystal Palace,Ghana,26
1,Darnell Furlong,West Bromwich Albion,England,26
1,Raúl Jiménez,Wolverhampton Wanderers,Mexico,26
1,Dwight McNeil,,England,26
1,Scott McTominay,Manchester United,Scotland,26
1,Thomas Partey,Arsenal,Ghana,26
1,Tyler Roberts,,Wales,26
1,Douglas Luiz,Aston Villa,Brazil,26
1,Ezgjan Alioski,,North Macedonia,25
1,Oliver Burke,,Scotland,25
1,Mbaye Diagne,,Senegal,25
1,Sébastien Haller,,Cote D’Ivoire,25
1,Fred,Manchester United,Brazil,25
1,Adam Webster,Brighton & Hove Albion,England,25
1,Luke Ayling,Leeds United,England,24
1,Rhian Brewster,Sheffield United,England,24
1,Alexis Mac Allister,Brighton & Hove Albion,Argentina,24
1,Nélson Semedo,Wolverhampton Wanderers,Portugal,23
1,Aaron Connolly,,Ireland,23
1,Callum Hudson-Odoi,,England,23
1,Mateo Kovacic,Chelsea,Croatia,23
1,Jannik Vestergaard,,Denmark,23
1,Joe Willock,,England,23
1,Thiago Alcântara,Liverpool,Spain,22
1,Marcos Alonso,,Spain,22
1,Ezri Konsa,Aston Villa,England,22
1,Adam Lallana,Brighton & Hove Albion,England,22
1,Solly March,Brighton & Hove Albion,England,22
1,Ben Mee,,England,22
1,Matt Phillips,West Bromwich Albion,Scotland,22
1,James Tarkowski,,England,22
1,Marc Albrighton,,England,21
1,Erik Lamela,,Argentina,21
1,Matthew Lowton,,England,21
1,Josh Maja,Fulham,Nigeria,21
1,Granit Xhaka,Arsenal,Switzerland,21
1,Willian,,Brazil,20
1,John Lundstram,,England,20
1,Gabriel Martinelli,Arsenal,Brazil,20
1,Takumi Minamino,,Japan,20
1,Sergio Reguilón,,Spain,20
1,Ashley Westwood,,England,20
1,Sergio Agüero,,Argentina,19
1,Aaron Cresswell,West Ham United,England,19
1,Willian José,,Brazil,19
1,Jóhann Gudmundsson,Burnley,Iceland,19
1,Curtis Jones,Liverpool,England,19
1,Mario Lemina,,Gabon,19
1,Luka Milivojevic,Crystal Palace,Serbia,19
1,Tyrone Mings,Aston Villa,England,19
1,Andrew Robertson,Liverpool,Scotland,19
1,Tosin Adarabioyo,Fulham,England,18
1,Abdoulaye Doucouré,Everton,Mali,18
1,Alireza Jahanbakhsh,,Iran,18
1,Tanguy Ndombélé,,France,18
1,Lucas Moura,Tottenham Hotspur,Brazil,18
1,Jeffrey Schlupp,Crystal Palace,Ghana,18
1,Patrick van Aanholt,,Netherlands,18
1,Kyle Walker-Peters,Southampton,England,18
1,Jayden Bogle,Sheffield United,England,17
1,Dan Burn,,England,17
1,John Fleck,Sheffield United,Scotland,17
1,Dan James,,Wales,17
1,Yerry Mina,Everton,Colombia,17
1,Nathan Tella,,England,17
1,Robert Brady,,Ireland,16
1,Craig Dawson,,England,16
1,Gabriel Magalhães,Arsenal,Brazil,16
1,Dwight Gayle,,England,16
1,Karlan Grant,West Bromwich Albion,England,16
1,Isaac Hayden,,England,16
1,Michael Keane,Everton,England,16
1,Wilfred Ndidi,Leicester City,Nigeria,16
1,Hélder Costa,,Angola,16
1,Enda Stevens,Sheffield United,Ireland,16
1,Oleksandr Zinchenko,,Ukraine,16
1,Rayan Aït-Nouri,,Algeria,15
1,Sèrge Aurier,,Cote D’Ivoire,15
1,Héctor Bellerín,,Spain,15
1,Steven Bergwijn,,Netherlands,15
1,Willy Boly,,Cote D’Ivoire,15
1,Liam Cooper,Leeds United,Scotland,15
1,Vladimír Coufal,West Ham United,[object Object],15
1,Pablo Hernández,,Spain,15
1,Alex Iwobi,Everton,Nigeria,15
1,Jamaal Lascelles,Newcastle United,England,15
1,Giovani Lo Celso,,Argentina,15
1,Sean Longstaff,Newcastle United,England,15
1,David Luiz,,Brazil,15
1,Kalvin Phillips,,England,15
1,Nathaniel Phillips,Liverpool,England,15
1,John Stones,Manchester City,England,15
1,Kieran Tierney,Arsenal,Scotland,15
1,Martin Ødegaard,,Norway,15
2,Ola Aina,Fulham,Nigeria,14
2,Kyle Bartley,West Bromwich Albion,England,14
2,Andy Carroll,,England,14
2,Grady Diangana,West Bromwich Albion,England,14
2,Eric Dier,Tottenham Hotspur,England,14
2,Moussa Djenepo,Southampton,Mali,14
2,Rúben Dias,Manchester City,Portugal,14
2,John Egan,Sheffield United,Ireland,14
2,Jorginho,,Italy,14
2,Ben Godfrey,Everton,England,14
2,Jordan Henderson,Liverpool,England,14
2,Rob Holding,Arsenal,England,14
2,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,14
2,Oriol Romeu,,Spain,14
2,Fernandinho,,Brazil,14
2,Antonio Rüdiger,,Germany,14
2,João Moutinho,Wolverhampton Wanderers,Portugal,14
2,Pascal Struijk,Leeds United,Netherlands,14
2,André Gomes,,Portugal,14
2,Joël Veltman,Brighton & Hove Albion,Netherlands,14
2,Semi Ajayi,West Bromwich Albion,Nigeria,13
2,Joachim Andersen,,Denmark,13
2,George Baldock,Sheffield United,Greece,13
2,Dani Ceballos,,Spain,13
2,Lucas Digne,,France,13
2,Thiago Silva,Chelsea,Brazil,13
2,Ryan Fraser,Newcastle United,Scotland,13
2,Jakub Moder,Brighton & Hove Albion,Poland,13
2,Angelo Ogbonna,West Ham United,Italy,13
2,Harrison Reed,Fulham,England,13
2,Hal Robson-Kanu,West Bromwich Albion,Wales,13
2,Emile Smith Rowe,Arsenal,England,13
2,Dele Alli,,England,12
2,Michy Batshuayi,,Belgium,12
2,Tom Cairney,Fulham,Scotland,12
2,Séamus Coleman,,Ireland,12
2,Manuel Lanzini,West Ham United,Argentina,12
2,Ainsley Maitland-Niles,West Bromwich Albion,England,12
2,James Milner,Liverpool,England,12
2,Eddie Nketiah,Arsenal,England,12
2,Fabian Schär,Newcastle United,Switzerland,12
2,Okay Yokuslu,,[object Object],12
2,César Azpilicueta,Chelsea,Spain,11
2,Gary Cahill,,England,11
2,Wesley Fofana,,France,11
2,Oliver Norwood,Sheffield United,Northern Ireland,11
2,Jacob Ramsey,Aston Villa,England,11
2,Matt Ritchie,Newcastle United,Scotland,11
2,Xherdan Shaqiri,,Switzerland,11
2,Luke Shaw,Manchester United,England,11
2,Conor Townsend,West Bromwich Albion,England,11
2,Toby Alderweireld,,Belgium,10
2,Chris Basham,Sheffield United,England,10
2,Jan Bednarek,Southampton,Poland,10
2,Sander Berge,Sheffield United,Norway,10
2,Morgan Gibbs-White,,England,10
2,Jeff Hendrick,,Ireland,10
2,James Justin,Leicester City,England,10
2,N'Golo Kanté,Chelsea,France,10
2,Antonee Robinson,Fulham,United States,10
2,Çaglar Söyüncü,Leicester City,[object Object],10
2,Fabinho,Liverpool,Brazil,10
2,Kyle Walker,Manchester City,England,10
2,Ben White,,England,10
2,Matty Cash,Aston Villa,Poland,9
2,Keinan Davis,,England,9
2,Ahmed El Mohamady,,Egypt,9
2,Mohamed Elneny,Arsenal,Egypt,9
2,Fábio Carvalho,,Portugal,9
2,Naby Keïta,Liverpool,Guinea,9
2,Robin Koch,Leeds United,Germany,9
2,Ben Osborn,Sheffield United,England,9
2,Billy Sharp,Sheffield United,England,9
2,Cengiz Ünder,,[object Object],9
2,Fabián Balbuena,,Paraguay,8
2,Ryan Bertrand,,England,8
2,Joe Bryan,,England,8
2,Timothy Castagne,Leicester City,Belgium,8
2,Calum Chambers,,England,8
2,Ciaran Clark,,Ireland,8
2,Jonny Evans,Leicester City,Northern Ireland,8
2,Filip Krovinovic,,Croatia,8
2,Diego Llorente,,Spain,8
2,Vitinha,,Portugal,8
2,Alex Oxlade-Chamberlain,Liverpool,England,8
2,Dennis Praet,Leicester City,Belgium,8
2,Jairo Riedewald,Crystal Palace,Netherlands,8
2,Carlos Vinícius,,Brazil,7
2,Cédric Soares,,Portugal,7
2,Steven Alzate,,Colombia,7
2,Ethan Ampadu,Sheffield United,Wales,7
2,Ricardo Pereira,Leicester City,Portugal,7
2,Conor Coady,,England,7
2,Tom Davies,Everton,England,7
2,Ibrahima Diallo,Southampton,France,7
2,Jimmy Dunne,,Ireland,7
2,Maximilian Kilman,Wolverhampton Wanderers,England,7
2,Cheikhou Kouyaté,,Senegal,7
2,Emil Krafth,Newcastle United,Sweden,7
2,Allan,,Brazil,7
2,Divock Origi,,Belgium,7
2,Kenny Tete,Fulham,Netherlands,7
2,Luke Thomas,Leicester City,England,7
2,Aaron Wan-Bissaka,Manchester United,England,7
2,Rhys Williams,Liverpool,England,7
2,Andrii Yarmolenko,,Ukraine,7
2,Andi Zeqiri,,Switzerland,7
3,Bernard,,Brazil,6
3,Neeskens Kebano,,DR Congo,6
3,Tariq Lamptey,Brighton & Hove Albion,Ghana,6
3,Aymeric Laporte,Manchester City,Spain,6
3,Arthur Masuaku,,DR Congo,6
3,Nemanja Matic,,Serbia,6
3,James McArthur,Crystal Palace,Scotland,6
3,Benjamin Mendy,,France,6
3,Josh Onomah,,England,6
3,Jack Robinson,Sheffield United,England,6
3,Jack Stephens,,England,6
3,Matt Targett,,England,6
3,Jack Cork,Burnley,England,5
3,Kortney Hause,,England,5
3,Mason Holgate,Everton,England,5
3,Conor Hourihane,,Ireland,5
3,Jake Livermore,West Bromwich Albion,England,5
3,Juan Mata,,Spain,5
3,Joël Matip,Liverpool,Cameroon,5
3,Alex Telles,,Brazil,5
3,Ian Poveda-Ocampo,,England,5
3,Davinson Sánchez,Tottenham Hotspur,Colombia,5
3,Hamza Choudhury,,England,4
3,Nathaniel Clyne,Crystal Palace,England,4
3,Scott Dann,,England,4
3,Bernardo,,Brazil,4
3,Federico Fernández,,Argentina,4
3,Ryan Fredericks,,England,4
3,Christian Fuchs,,Austria,4
3,Branislav Ivanovic,West Bromwich Albion,Serbia,4
3,Daniel Jebbison,,England,4
3,Aboubakar Kamara,,Mauritania,4
3,Victor Lindelöf,Manchester United,Sweden,4
3,Jean-Philippe Mateta,,France,4
3,Nampalys Mendy,,Senegal,4
3,Lys Mousset,,France,4
3,Owen Otasowie,,United States,4
3,Erik Pieters,,Netherlands,4
3,Davy Pröpper,,Netherlands,4
3,Mohammed Salisu,Southampton,Ghana,4
3,Romaine Sawyers,,St. Kitts & Nevis,4
3,Robert Snodgrass,,Scotland,4
3,Dale Stephens,Burnley,England,4
3,Virgil van Dijk,Liverpool,Netherlands,4
3,Harry Winks,,England,4
3,Nathan Aké,Manchester City,Netherlands,3
3,Daniel Amartey,,Ghana,3
3,Charlie Austin,,England,3
3,Phil Bardsley,,Scotland,3
3,Kean Bryan,,England,3
3,Andreas Christensen,,Denmark,3
3,Ben Davies,Tottenham Hotspur,Wales,3
3,Issa Diop,,France,3
3,Matt Doherty,,Ireland,3
3,Paul Dummett,Newcastle United,Wales,3
3,Kamil Grosicki,West Bromwich Albion,Poland,3
3,Ben Johnson,,England,3
3,Joshua King,,Norway,3
3,Jamal Lewis,Newcastle United,Northern Ireland,3
3,Dara O'Shea,West Bromwich Albion,Ireland,3
3,Moussa Sissoko,,France,3
3,Charlie Taylor,Burnley,England,3
3,Eric Bailly,,Cote D’Ivoire,2
3,Josh Benson,,England,2
3,Kyle Edwards,,England,2
3,Anthony Elanga,Manchester United,Sweden,2
3,Eric García,,Spain,2
3,Shane Long,,Ireland,2
3,Kevin Long,,Ireland,2
3,Max Lowe,,England,2
3,Marçal,,Brazil,2
3,Pablo Marí,,Spain,2
3,Tyrick Mitchell,Crystal Palace,England,2
3,Marvelous Nakamba,,Zimbabwe,2
3,Denis Odoi,,Ghana,2
3,Morgan Sanson,,France,2
3,Japhet Tanganga,Tottenham Hotspur,England,2
3,James Tomkins,Crystal Palace,England,2
3,Yan Valery,,Tunisia,2
3,Donny van de Beek,Manchester United,Netherlands,2
3,Joel Ward,Crystal Palace,England,2
3,Neco Williams,,Wales,2
3,DeAndre Yedlin,,United States,2
4,Alisson,Liverpool,Brazil,1
4,Gaetano Berardi,,Switzerland,1
4,Jonny,Wolverhampton Wanderers,Spain,1
4,Carney Chukwuemeka,,England,1
4,Patrick Cutrone,,Italy,1
4,Liam Delap,,England,1
4,Fabian Delph,,England,1
4,Amad Diallo,,Cote D’Ivoire,1
4,Timothy Fosu-Mensah,,Netherlands,1
4,Kieran Gibbs,,England,1
4,Billy Gilmour,,Scotland,1
4,Demarai Gray,,England,1
4,Antwoine Hackford,Sheffield United,England,1
4,Rekeem Harper,,England,1
4,Michael Hector,,Jamaica,1
4,Ki-Jana Hoever,,Netherlands,1
4,José Izquierdo,,Colombia,1
4,Ozan Kabak,,Turkey,1
4,Moise Kean,,Italy,1
4,Maxime Le Marchand,,France,1
4,Javier Manquillo,Newcastle United,Spain,1
4,James McCarthy,,Ireland,1
4,Wesley,,Brazil,1
4,Daniel N'Lundulu,,England,1
4,Reiss Nelson,Arsenal,England,1
4,Niels Nkounkou,,France,1
4,Mark Noble,,England,1
4,Joe Rodon,,Wales,1
4,Mamadou Sakho,,France,1
4,Islam Slimani,,Algeria,1
4,William Smallbone,,Ireland,1
4,Sidnei Tavares,,Portugal,1
4,Brandon Williams,Manchester United,England,1
4,Jamie Shackleton,,England,0
