Rank,Player,Club,Nationality,Stat
1,James Milner,Liverpool,England,26
1,Bernardo Silva,Manchester City,Portugal,26
1,Angelo Ogbonna,West Ham United,Italy,26
1,Bertrand Traoré,Aston Villa,Burkina Faso,26
1,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,26
1,Ché Adams,Southampton,Scotland,25
1,Gabriel Magalhães,Arsenal,Brazil,25
1,Jonny Evans,Leicester City,Northern Ireland,25
1,Ilkay Gündogan,Manchester City,Germany,25
1,Ezri Konsa,Aston Villa,England,25
1,Ruben Loftus-Cheek,Fulham,England,25
1,John Lundstram,,England,25
1,Nemanja Matic,,Serbia,25
1,Jay Rodríguez,Burnley,England,25
1,Bukayo Saka,Arsenal,England,25
1,Hélder Costa,,Angola,25
1,Oleksandr Zinchenko,,Ukraine,25
2,Fabián Balbuena,,Paraguay,24
2,Saïd Benrahma,West Ham United,Algeria,24
2,Ciaran Clark,,Ireland,24
2,Rúben Dias,Manchester City,Portugal,24
2,Jordan Henderson,Liverpool,England,24
2,Javier Manquillo,Newcastle United,Spain,24
2,Eric Dier,Tottenham Hotspur,England,23
2,Callum Hudson-Odoi,,England,23
2,Ivan Cavaleiro,,Portugal,23
2,Luke Thomas,Leicester City,England,23
2,Theo Walcott,,England,23
2,Ashley Westwood,,England,23
2,Georginio Wijnaldum,,Netherlands,23
2,Robert Brady,,Ireland,22
2,Phil Foden,Manchester City,England,22
2,Danny Ings,,England,22
2,Harry Kane,Tottenham Hotspur,England,22
2,Victor Lindelöf,Manchester United,Sweden,22
2,Marvelous Nakamba,,Zimbabwe,22
2,Nathaniel Phillips,Liverpool,England,22
2,Moussa Sissoko,,France,22
2,Patrick Bamford,Leeds United,England,21
2,Maximilian Kilman,Wolverhampton Wanderers,England,21
2,Yerry Mina,Everton,Colombia,21
2,Raheem Sterling,,England,21
2,John Stones,Manchester City,England,21
2,Kean Bryan,,England,20
2,Issa Diop,,France,20
2,Thiago Silva,Chelsea,Brazil,20
2,Riyad Mahrez,Manchester City,Algeria,20
2,Arthur Masuaku,,DR Congo,20
2,Neal Maupay,,France,20
2,Nicolas Pépé,,Cote D’Ivoire,20
2,Timo Werner,,Germany,20
2,Harvey Barnes,Leicester City,England,19
2,Jóhann Gudmundsson,Burnley,Iceland,19
2,Ozan Kabak,,Turkey,19
2,Emil Krafth,Newcastle United,Sweden,19
2,Christian Pulisic,Chelsea,United States,19
2,Dele Alli,,England,18
2,Christian Fuchs,,Austria,18
2,Kai Havertz,Chelsea,Germany,18
2,Alexandre Lacazette,,France,18
2,Marcus Rashford,Manchester United,England,18
2,Mohamed Salah,Liverpool,Egypt,18
2,Jamie Vardy,Leicester City,England,18
2,Steven Alzate,,Colombia,17
2,Gareth Bale,,Wales,17
2,Dominic Calvert-Lewin,Everton,England,17
2,Nathaniel Clyne,Crystal Palace,England,17
2,Gabriel Jesus,,Brazil,17
2,Ahmed El Mohamady,,Egypt,17
2,Erik Lamela,,Argentina,17
2,Tariq Lamptey,Brighton & Hove Albion,Ghana,17
2,Robert Snodgrass,,Scotland,17
2,Sander Berge,Sheffield United,Norway,16
2,Oliver Burke,,Scotland,16
2,Paul Dummett,Newcastle United,Wales,16
2,Anwar El Ghazi,,Netherlands,16
2,Curtis Jones,Liverpool,England,16
2,Pedro Neto,Wolverhampton Wanderers,Portugal,16
2,James McCarthy,,Ireland,16
2,Allan Saint-Maximin,Newcastle United,France,16
2,Harry Winks,,England,16
2,Kurt Zouma,,France,16
2,Christian Benteke,,Belgium,15
2,Steven Bergwijn,,Netherlands,15
2,Joe Bryan,,England,15
2,Kieran Gibbs,,England,15
2,Dan James,,Wales,15
2,Pablo Marí,,Spain,15
2,Oliver McBurnie,Sheffield United,Scotland,15
2,Jakub Moder,Brighton & Hove Albion,Poland,15
2,Matt Phillips,West Bromwich Albion,Scotland,15
2,Tyler Roberts,,Wales,15
2,Donny van de Beek,Manchester United,Netherlands,15
2,Mohamed Elneny,Arsenal,Egypt,14
2,Sébastien Haller,,Cote D’Ivoire,14
2,Ki-Jana Hoever,,Netherlands,14
2,Branislav Ivanovic,West Bromwich Albion,Serbia,14
2,Jamaal Lascelles,Newcastle United,England,14
2,Joël Matip,Liverpool,Cameroon,14
2,Rodrigo,Leeds United,Spain,14
2,Alex Telles,,Brazil,14
2,Dennis Praet,Leicester City,Belgium,14
2,Jack Robinson,Sheffield United,England,14
2,Joe Rodon,,Wales,14
2,Emile Smith Rowe,Arsenal,England,14
2,Hakim Ziyech,Chelsea,Morocco,14
2,Marcos Alonso,,Spain,13
2,Willian,,Brazil,13
2,Gary Cahill,,England,13
2,Mason Greenwood,,England,13
2,Filip Krovinovic,,Croatia,13
2,Aymeric Laporte,Manchester City,Spain,13
2,Marçal,,Brazil,13
2,Benjamin Mendy,,France,13
2,Fabian Schär,Newcastle United,Switzerland,13
2,Axel Tuanzebe,,England,13
3,Cédric Soares,,Portugal,12
3,Pierre-Emerick Aubameyang,,Gabon,12
3,Ashley Barnes,Burnley,England,12
3,Daniel Podence,Wolverhampton Wanderers,Portugal,12
3,Edinson Cavani,,Uruguay,12
3,Kelechi Iheanacho,Leicester City,Nigeria,12
3,Jesse Lingard,,England,12
3,David Luiz,,Brazil,12
3,Tim Ream,Fulham,United States,12
3,Diogo Jota,Liverpool,Portugal,12
3,Ferran Torres,,Spain,12
3,Danny Welbeck,Brighton & Hove Albion,England,12
3,Callum Wilson,Newcastle United,England,12
3,Chris Wood,,New Zealand,12
3,Daniel Amartey,,Ghana,11
3,Jonny,Wolverhampton Wanderers,Spain,11
3,Andreas Christensen,,Denmark,11
3,Craig Dawson,,England,11
3,Ben Johnson,,England,11
3,Naby Keïta,Liverpool,Guinea,11
3,Kevin Long,,Ireland,11
3,Takumi Minamino,,Japan,11
3,Josh Onomah,,England,11
3,Dale Stephens,Burnley,England,11
3,Nathan Aké,Manchester City,Netherlands,10
3,Bernardo,,Brazil,10
3,Jacob Ramsey,Aston Villa,England,10
3,Matt Ritchie,Newcastle United,Scotland,10
3,Jamie Shackleton,,England,10
3,Tom Cairney,Fulham,Scotland,9
3,Ryan Fredericks,,England,9
3,Fábio Carvalho,,Portugal,9
3,Morgan Gibbs-White,,England,9
3,Alireza Jahanbakhsh,,Iran,9
3,Manuel Lanzini,West Ham United,Argentina,9
3,Lee Peltier,,England,9
3,Matej Vydra,,[object Object],9
3,DeAndre Yedlin,,United States,9
3,Martin Ødegaard,,Norway,9
3,Bernard,,Brazil,8
3,Rhian Brewster,Sheffield United,England,8
3,Hamza Choudhury,,England,8
3,Eric García,,Spain,8
3,Jeff Hendrick,,Ireland,8
3,Mark Noble,,England,8
3,Nathan Tella,,England,8
3,Tammy Abraham,,England,7
3,Michail Antonio,,Jamaica,7
3,Calum Chambers,,England,7
3,Vitinha,,Portugal,7
3,Josh Maja,Fulham,Nigeria,7
3,Gabriel Martinelli,Arsenal,Brazil,7
3,Aleksandar Mitrovic,Fulham,Serbia,7
3,Callum Robinson,,Ireland,7
3,Morgan Sanson,,France,7
3,Xherdan Shaqiri,,Switzerland,7
3,Rúben Vinagre,,Portugal,7
3,Phil Bardsley,,Scotland,6
3,Ross Barkley,,England,6
3,Aaron Connolly,,Ireland,6
3,Scott Dann,,England,6
3,Daniel Jebbison,,England,6
3,Davy Pröpper,,Netherlands,6
3,William Smallbone,,Ireland,6
3,Fábio Silva,,Portugal,6
3,Neco Williams,,Wales,6
3,Rhys Williams,Liverpool,England,6
3,Eric Bailly,,Cote D’Ivoire,5
3,Michy Batshuayi,,Belgium,5
3,Josh Benson,,England,5
3,Fabian Delph,,England,5
3,Sam Field,,England,5
3,Karlan Grant,West Bromwich Albion,England,5
3,Pablo Hernández,,Spain,5
3,Phil Jagielka,,England,5
3,Owen Otasowie,,United States,5
3,Ian Poveda-Ocampo,,England,5
3,Kayne Ramsay,,England,5
3,Billy Sharp,Sheffield United,England,5
3,Japhet Tanganga,Tottenham Hotspur,England,5
3,Yan Valery,,Tunisia,5
3,Andrii Yarmolenko,,Ukraine,5
3,Sergio Agüero,,Argentina,4
3,Charlie Austin,,England,4
3,Mbaye Diagne,,Senegal,4
3,Anthony Elanga,Manchester United,Sweden,4
3,Ryan Fraser,Newcastle United,Scotland,4
3,Billy Gilmour,,Scotland,4
3,Olivier Giroud,,France,4
3,Kortney Hause,,England,4
3,Joshua King,,Norway,4
3,Niels Nkounkou,,France,4
3,Alex Oxlade-Chamberlain,Liverpool,England,4
3,James Tomkins,Crystal Palace,England,4
3,Cengiz Ünder,,[object Object],4
3,Carlos Vinícius,,Brazil,3
3,Alisson,Liverpool,Brazil,3
3,Andy Carroll,,England,3
3,Amad Diallo,,Cote D’Ivoire,3
3,Jimmy Dunne,,Ireland,3
3,Kyle Edwards,,England,3
3,Joe Gomez,Liverpool,England,3
3,Anthony Gordon,,England,3
3,Michael Hector,,Jamaica,3
3,Raúl Jiménez,Wolverhampton Wanderers,Mexico,3
3,Terence Kongolo,,Netherlands,3
3,Matty Longstaff,,England,3
3,Emiliano Martínez,Aston Villa,Argentina,3
3,Eddie Nketiah,Arsenal,England,3
3,Jack O'Connell,Sheffield United,England,3
3,Denis Odoi,,Ghana,3
3,Divock Origi,,Belgium,3
3,Emerson,,Italy,3
3,Mamadou Sakho,,France,3
3,Ederson,Manchester City,Brazil,3
3,Virgil van Dijk,Liverpool,Netherlands,3
3,Andi Zeqiri,,Switzerland,3
4,Gaetano Berardi,,Switzerland,2
4,Carney Chukwuemeka,,England,2
4,Theo Corbeanu,,Canada,2
4,Willian José,,Brazil,2
4,Keinan Davis,,England,2
4,Timothy Fosu-Mensah,,Netherlands,2
4,Dwight Gayle,,England,2
4,Kamil Grosicki,West Bromwich Albion,Poland,2
4,Alexandre Jankewitz,,Switzerland,2
4,Aboubakar Kamara,,Mauritania,2
4,Jonjoe Kenny,,England,2
4,Maxime Le Marchand,,France,2
4,Shane Long,,Ireland,2
4,Anthony Martial,Manchester United,France,2
4,Hal Robson-Kanu,West Bromwich Albion,Wales,2
4,Fikayo Tomori,,England,2
4,Caleb Watts,,Australia,2
4,Alphonse Aréola,,France,1
4,Nathan Broadhead,,Wales,1
4,Lukasz Fabianski,West Ham United,Poland,1
4,Fraser Forster,,England,1
4,Jean-Philippe Gbamin,,Cote D’Ivoire,1
4,Demarai Gray,,England,1
4,Vicente Guaita,Crystal Palace,Spain,1
4,Dean Henderson,,England,1
4,Martin Kelly,,England,1
4,Bernd Leno,,Germany,1
4,Juan Mata,,Spain,1
4,Jean-Philippe Mateta,,France,1
4,Alex McCarthy,Southampton,England,1
4,Lys Mousset,,France,1
4,Shkodran Mustafi,,Germany,1
4,Iliman Ndiaye,Sheffield United,Senegal,1
4,Reiss Nelson,Arsenal,England,1
4,Michael Obafemi,,Ireland,1
4,Felipe Anderson,,Brazil,1
4,Nick Pope,,England,1
4,Aaron Ramsdale,,England,1
4,Mathew Ryan,,Australia,1
4,Robert Sánchez,Brighton & Hove Albion,Spain,1
4,Percy Tau,,South Africa,1
4,Sidnei Tavares,,Portugal,1
4,Neil Taylor,,Wales,1
4,Karl Darlow,,England,0
4,Rekeem Harper,,England,0
4,Sam Johnstone,,England,0
4,Illan Meslier,Leeds United,France,0
4,Wesley,,Brazil,0
4,Kasper Schmeichel,,Denmark,0
